author,date,rating,restaurant,review
"['Cindy C.', ""Elite '2020""]",['12/21/2019'],['5 star rating'],['Fresh Tray'],"['With all the craze of chicken sandwiches this year, it had me craving one. I have been eyeing Fresh Tray for a while and I finally got to try it! ', ""Fresh Tray was previously called Mom's Touch which is a popular chicken burger establishment in South Korea. Turns out, their first American location happens to be in downtown Concord! Since last year, they have rebranded themselves, with a simpler menu. Fresh Tray is suitable name for this place since their chicken is made cooked to order (will take 10-15 min). "", 'I had their standard Chicken Burger and the first thing that came to my mind was: ""Where do I take my first bite?"" The chicken patty is the most massive of all chicken sandwiches I have had in my lifetime! First bite in and the breaded chicken was seasoned well with pepper and other spices. The chicken was juicy and tender! I also noticed their specialty honey-mustard sauce, was a nice touch to the chicken burger! The lettuce, tomato, and onions looked and tasted fresh. ', 'Their fries are crispy and I appreciate how they offer a generous amount! There is also a condiment bar with a sweet hot sauce, ranch, bbq sauce, and ketchup! I recommend the sweet hot! ', 'Fresh Tray is spacious and they keep the place fairly tidy. They have one restroom inside which is clean. Also if you are ordering for takeout, to save time, you should call ahead of time so by the time you arrive, your order should be ready. Thanks to Fresh Tray, I have left satisfied with a happy stomach!']"
"['Henry D.', ""Elite '2020""]",['1/23/2020'],['5 star rating'],['Fresh Tray'],"['Fresh Tray indeed. The food is cooked to order so it is very fresh, hot and the chicken is crispy as it should be. I am happy that I drove out to Concord to try Fresh Tray.', 'I ordered the basic chicken sandwich which comes with lettuce, tomato, onions, soft bun and a nice mild but spicy spread. The chicken is tender with a very nice batter thaat is crunchy without being over-battered. They give you a fair amount of lettuce that adds to the sandwich without overpowering it so that it tastes like a salad. I had French Fries which has a coating but is good. My buddy ordered onion rings with his chicken which I liked more than then fries.', 'Overall, just an outstanding fresh tasting flavorful sandwich that I will definitely make the drive to eat there again. Very clean, good portions, reasonably priced, good service and surprise, surprise, a clean bathroom.']"
['Jamie C.'],['7/6/2020'],['5 star rating'],['Fresh Tray'],"[""Amazing chicken burger(/sandwich) and bulgogi burger. I think it's even better than what I had in Korea- which is shocking. Chicken was super fresh/delicious and the sweet sauce goes very well with the burger. Lettuce and tomatoes are super fresh (ya know the crispy texture of fresh veggie is essential!). I got to talk to the owner and she told me that oils are changed daily and they never freeze the chicken meat. No wonder everything felt super healthy and tasty- they care quality control! "", ""Bulgogi burger had the super authentic sauce- i think it's the only place you can get Korean style burgers in bay area. "", 'Fries were great too! Def will come back again.']"
['Gena K.'],['5/14/2020'],['3 star rating'],['Fresh Tray'],"['2.5 STARS', '1.) I was hoping to dip my fries into homemade ranch, but unfortunately it was bottled ranch. ', '2.) Nothing special about the onion rings or fries. 3.) Chicken sandwich was also nothing special. It tasted dry. ', '4.) The fruit drinks are overly sweet.']"
['Cheyenne B.'],['10/7/2020'],['5 star rating'],['Fresh Tray'],"[""Cycling through new places for food, and my boyfriend and I were in the mood for chicken sandwiches. Since this was our first time here, we decided to each get the number 1 meal of a chicken sandwich with fries. It is about a 10ish minute wait for the food once you order, but is definitely worth the wait as everything was perfectly crispy. The fries are seasoned well and were nice and crisp, whereas other fries tend to get soggy after the drive home. The chicken sandwich itself was amazing!! The portion was HUGE, and the fresh veggies on top of the crispy chicken was delicious and perfectly savory. The price of the sandwich makes sense because of how much food you're getting, this isn't your regular chicken sandwich. Overall, I can't wait to be back to try some of their other options!""]"
"['Ryan H.', ""Elite '2020""]",['5/10/2020'],['4 star rating'],['Fresh Tray'],"[""Really great fried chicken, located near Todos Santos Plaza in Concord, CA. Everything is really good here, so its hard to make a bad decision. It's hard for me not to order more because like i said, the food is good here. I cant wait to go back to this restaurant and grab a bite to eat""]"
['S T.'],['7/27/2020'],['4 star rating'],['Fresh Tray'],"[""Family of 3 enjoyed the food. Don't expect fast cook, it's cook to order venu. "", 'Clean inside and a polite staff.', 'Simple selections of fried chicken sandwiches, chicken wings, and beef burger with a tasty, bit messy, seasoned brown sauce.', 'My choice: Bulgogi Cheese Burger Meal', ""Potato Fries seasoned almost similar to 'Jack's Seasoned Curly Fries', but more crisp and delicious. Drink (about 18oz) - Coca-Cola brands. "", 'Wife devoured the Chicken Wings giving praise as she contiued to consume. ', '14 yrs daughter had Popcorn Chicken and described a mildly spicy flavor. Good, but nothing special.', 'Tried the syrup based Passionfruit (mixed w/7-Up) ""Fruit Adies"" was okay. Strong hit of PF had a slight aftertaste. Flavor improves as the ice melts.', 'Prices range from $2.99-$11.54 w/curbside seating available that I felt were 1 small table too many.', ""We'll most definitely return for another go!""]"
"['Tiena L.', ""Elite '2020""]",['3/23/2020'],['5 star rating'],['Fresh Tray'],"[""This place is so good! They make their chicken fresh and it's seasoned so well. I got my order to go and took about 15min \xa0to make. Their wings are my favorite item, they are huge. They have a few sauces to choose from and some seasoned \xa0parmigiana cheese to shake on top of your fries. Give this a shot if you love fried chicken.""]"
['Gabe B.'],['9/30/2020'],['2 star rating'],['Fresh Tray'],['Disappointed all the reviews looked really promising to only be let down by a thin dry piece of chicken the fries were the only decent thing about this meal overpriced and overhyped spend your money elsewhere.']
['Mari G.'],['9/17/2020'],['5 star rating'],['Fresh Tray'],['I ordered a chicken sandwich with fries ! Fresh and yummy! The place is clean and we received our food in a timely matter ! Definitely will return :)']
"['Kris J.', ""Elite '2020""]",['2/22/2020'],['5 star rating'],['Fresh Tray'],"[""The best best best fried chicken in the whole wide world! Omg! Have you ever tried? KFC, churchs, Popeyes, nothing nowhere got anything on Fresh Tray. It's soooooo crunchy and yet the meat is so tender and juicy. It's not overly oily or seasoned, just perfect. I tried their drumsticks, wings, and sandwich. "", ""The sandwich is better than any Popeyes chicken sandwich. It was sooooo good! Nothing homemade has come close to that. The chicken in the sandwich was huge, it was definitely good enough for 2 sandwiches. It's not those generic chicken patties from the freezers. They are breaded boneless chicken breasts. Fresh and crunchy, and not soggy in the sandwich."", 'I usually am a wing person but damnnnn the drumsticks got me hooked! Soooo crunchy. And the inside is very very welled cooked. The wings are good too big the drums are so juicy! ', 'Their drinks are flavored sprite but they are aoooooo refreshing. The honeydew one is the best. I will definitely return!']"
"['Steve L.', ""Elite '2020""]",['9/7/2020'],['4 star rating'],['Yard House'],"['The outdoor seating is huge right now!', ""Didn't take too long to be seated."", 'Our server was prompt with water, and drink orders.', 'We got our appetizers in a nice amount of time.', 'The entrees came out a little slow, but they were busy so it was acceptable.', 'The Nashville chicken sandwich and the margherita pizza were great. We would pass on the crab cake sandwich for next time.', 'Not sure if it was the heat or time the lobster bisque raviolis and Caesar salad seemed off.', 'The drinks were awesome as they always are!', 'Nice place for a drink with coworkers or friends.', 'Large patio, even larger tent for outdoor dining during Covid.']"
"['Althea T.', ""Elite '2020""]",['8/15/2020'],['4 star rating'],['Yard House'],"['Finally "" Yard House"" \xa0has extra outdoor seating. My daughter has been craving for \xa0fried cheese curd since shelter in place. We came here at around 6:30pm and we \xa0got seated in the patio area right away. In addition, to the outside patio seating, they also had a huge covered white tent for additional outdoor seating (part of the parking lot)! \xa0', ""My husband ordered the turkey club sandwich and he only ate half of his sandwich. My daughter ordered bacon barbecue burger and side of sweet potato fries and she also only ate half. . My daughter's friend ordered the Nashville Hot Chicken Sandwich \xa0and she loved it! \xa0I ordered the street taco meal and it was okay. \xa0"", 'I would recommend this place if you are craving for burgers or would like to try different beers. \xa0They also have a \xa0pretty good selection of appetizer and mixed drinks']"
"['Liberty D.', ""Elite '2020""]",['9/23/2020'],['5 star rating'],['Yard House'],"[""I'm so glad I finally came to try Yard house. Due to Covid they have a large tent outside that has a top with really nice patio lights. The ambiance was very nice. Yasmine our server was very sweet and made great recommendations on the menu. They have an extensive beer selection, wines, and cocktails. The food menu has sandwiches, burgers, pizza, and some more fancy options like salmon, rib eye, and Jambalaya. It's family friendly and located near some shopping. Highly recommended!""]"
"['Erna D.', ""Elite '2020""]",['10/8/2020'],['4 star rating'],['Yard House'],"['Absolutely love this chain! Me and my bf are always up to try new beers and this is one of the places to do it for their great selection. ', ""Food has been great during all visits. It some things are just better than others. For some reason we love the lumpia appetizer here and I'm sure there's better out there but it's yummy and also sold out on occasion - def. popular!"", 'Also, their happy is not bad at all! Great selection of food and drinks for a good $$ (M-F 3-6)']"
"['Chanell T.', ""Elite '2020""]",['10/5/2020'],['4 star rating'],['Yard House'],"[""Indoor dining is now permitted and that's a plus as the weather is getting cooler soon. However, it's extremely limited inside. We went here Saturday night, the wait time was an hour due to the limited amount of staff they're allowed to have. "", 'Plenty of outside dining available. They have a huge space in the front, and a smaller space in the back. We sat in the back, it was more intimate. ', 'Ok, on to the good stuff: The Food ', ""I ordered the salmon and a salad. I'm on a diet, so I asked for the glaze/sauce on the side. And instead of the carb, I asked for salad. Unfortunately they got my order wrong the first time so I had to send it back. It took a long time for me to get my food, when it did come the salmon was salty. Edible... but salty. "", 'Everything else was good. My boyfriend ordered the burger and that was well prepared. The drinks were good too. ', '2 thumbs up for our server who was so nice and attentive!']"
['Salina M.'],['10/4/2020'],['3 star rating'],['Yard House'],"['This was our 2nd time coming here. The food is always good. We always enjoy the chicken tenders and calamari appetizers. The strawberry mule is very refreshing. If you get there by 530 pm during this COVID time, seating time is pretty reasonable. We were seated in about 20 minutes this time.', ""However, with this visit the table (indoors) the table was not clean when we came in. It's a little gross (in my opinion) to see the table still dirty when you're walking to it and have the staff cleaning it up in front of you. I also don't like to sit on a wet seat. It's nice to sit on a completely dry seat. Also I saw the crumbs being brushed to the floor before we sat down. Yuck! I don't know if they might have a Swiffer or quiet vacuum that can quickly get all those crumbs up, but having to step on all them isn't cool. "", ""I'm a little OCD so seeing that before I sit down makes me wonder what goes on in the back. "", 'Otherwise, the food did taste good, and I understand everyone is trying to work hard during this time!']"
"['Janae S.', ""Elite '2020""]",['10/11/2020'],['4 star rating'],['Yard House'],"[""The customer service was great and the food was pretty good as well. I'd definitely go back! I ordered the clam chowder and calamari. My friend got the mac n cheese but she wasn't impressed with that dish. I personally never order mac n cheese at restaurants because I already know it will have nothing on a home made mac n cheese... but to each his own\u200d""]"
"['Angeline K.', ""Elite '2020""]","['9/5/2020', '8/4/2019']","['1 star rating', '4 star rating']",['Yard House'],"['You know this place is known for having a great selection of drinks which is what makes it a great place to hang out.', 'Came here for the weekend brew and was denied service because we said we just want drinks.', 'SOO RUDE. You know with deinks comes the food after. You guys DO NOT know how to keep customers with your shitty rude service.', 'Ordered the Nashville Fried Chicken Sandwich, Fried Mac and Cheese, cup of Clam Chowder. ', 'Prensentation was ehh but food tasted good which is what really matters. Service was good. Place is spacious and roomy. ', 'Great selection of beers. I would go here again for just for drinks.']"
"['Maddie S.', ""Elite '2020""]",['10/6/2020'],['4 star rating'],['Yard House'],"[""The did their thing with the outdoor seating. Huge tent with sides so you basically feel like you're inside. Only thing they're missing is some TVs. I recommend coming here for happy hour, they have great prices during this time on food and drinks. They have a wide variety of selections. Some of my favorites are the chicken nachos, poke nachos, the sliders, or the chicken lettuce wraps. Although, last time I got the chicken nachos I actually didn't like them cause they used different chips and put some like enchilada sauce all over it but it's usually not like that so hopefully it didn't change.""]"
"['Kat M.', ""Elite '2020""]",['8/16/2020'],['4 star rating'],['Yard House'],"['We came here to wind down after a long and stressful day. We wanted to good American food and refreshing drinks. ', ""The restaurant: Yard House has a giant tent on a parking lot for outdoor dining. I was a little wary at first because it seemed that the tent was enclosed when you're walking towards the restaurant, but the front and right side of the tent were completely open. Being that it was a Saturday evening, the restaurant was busy but we didn't not wait long to get seated. Our waiter was friendly and attentive. "", ""The food: For the appetizer, we ordered the Wisconsin cheese curds. Having lived in Wisconsin for a year, I had my fair share of cheese curds. Wisconsin is known for their cheese and known for fried cheese curds. Yard House's cheese curds were good, not the greatest. It was still very satisfying and I loved the savory honey dip that came with this dish. For our main, we ordered the fried chicken sandwich with garlic fries and the roast beef dip sandwich with sweet potato fries. The servings were huge and we took home leftovers. The fried chicken sandwich was delicious and very filling. The roast beef dip was also delicious and the au ju was so flavorful! \xa0"", ""Overall, it was a good experience. The food was good and the staff were friendly. I'd definitely go back here again!""]"
['Brianna A.'],['10/15/2020'],['5 star rating'],['Yard House'],"[""This was my first time coming to Yard House and I would definitely recommend it to others. All the workers were nice and professional from the time we walked until we left. My server was nice and gave us time to look at the menu and it didn't too long for our food to come out either. I ordered an Ace Pineapple beer and the grilled chicken nachos. I will be coming back so I can try some other items on their menu.""]"
"['Cristina M.', ""Elite '2020""]",['7/8/2020'],['5 star rating'],['Yard House'],"['So we girl nighted to Mikunis but still wanted dessert. Butttttt it was 10pm. So we walked over, it was pretty much closing but they got our group of 6 in. The waiter was, great. I forgot his name...Terrance? He was great! ', ""He let us know it was almost last call so we all ordered and then asked him to take our group photo. He took a bunch because we're a needy group. He was super patient and just really cool! So thanks! "", 'Anyways, everything was delicious. The chocolate cake super decadent and fluffy, the carrot cake full of flavor and the cheesecakes super fluffy and nice. ', 'So thanks Yard House for a great late night experience!']"
"['Justin C.', ""Elite '2020""]",['7/3/2020'],['4 star rating'],['Yard House'],"['Honestly we were very hesitant to finally eat out in public do to Covid-19. The service was very good and the food was pretty nice as well . It felr great to be out for the first time in about 3-4 months and it all felt surreal . Thank you for giving us that ""Normal moment"". ', 'We had the the poke nachos , bbq pizza , and the calamarie. Everything was very well cooked. My favorite always resolves and boils down to the poke nachos. The tuna is so fresh and the avacados are always ripe. The icing on the cake is asking for an extra side of sweet soy and its amazing. Thank you everyone for holding the yard house name true ! Please stay safe and we appreciate your hard work.']"
"['Rachel D.', ""Elite '2020""]",['8/29/2020'],['3 star rating'],['Yard House'],"[""I still love yard house. Service was excellent! But the flavor isnt Consistent at all the yard house. It was my 1st time at this particular Yard House.I ordered what I normally order which is the vegan chicken wings with the Korean sauce.The wings were very soft, not cooked well and they taste like soft soggy tofu pieces. I asked for them to cook him a little bit crispier, which they did, and , they came back over crispy! Plus the sauce tasted different , it didn't taste like the Korean sauce I was expecting. Not sure the difference, but , I wasn't satisfied. They didn't have my favorite which is the garlic noodles with lobster and crab. I did order the garlic noodles and asked them to put a shrimp skewer on top which they did ,however, the shrimp was mushy and not fresh. And again I was celebrating a birthday which the carrot cake that came with the birthday dinner as a free dessert had great flavor however I noticed that the top cream cheese frosting was cracked and dry like it had been sitting out for a day or two. And again speaking of consistency, the margarita pizza that I ordered, did not taste like I was expecting it when I bit into it , the piece of mozzarella came off in one clump and was very chewy. I buy fresh mozzarella all the time, and it never does that. Plus the sauce tasted like canned sauce, not fresh. "", 'Now the things i did like. The Tennessee whiskey wings were amazing. The garlic noodles themselves, were very good. The mushrooms that were in the garlic noodles were so good and basically melted in your mouth! the mini crème brûlée cheesecake was good. The Caesar salad was very fresh and delicious with crisp lettuce. And my daughters orange chicken was good. I just would have liked more sauce on it. The sweet potato fries are excellent and so good dipped in the maple syrup.']"
"['Ashley H.', ""Elite '2020""]","['8/29/2020', '8/1/2020', '2/12/2020']","['4 star rating', '4 star rating', '4 star rating']",['Yard House'],"[""So happy they have outdoor seating! They have a huge tent set up in the parking lot and tables spread across the shaded area. The only down side is there are no fans or misters in the tent. It was a super hot day and we were dying out there. We ordered Strawberry Moscow Mules and OH MY GOD, they were the best mules I've ever had. The burger was delicious and service was great. The staff were friendly and helped quickly when we needed it. They have so many selections we have no choice but to go back"", ""So happy they have outdoor seating! They have a huge tent set up in the parking lot and tables spread across the shaded area. The only down side is there are no fans or misters in the tent. It was a super hot day and we were dying out there. We ordered Strawberry Moscow Mules and OH MY GOD, they were the best mules I've ever had. The burger was delicious and service was great. The staff were friendly and helped quickly when we needed it. They have so many selections we have no choice but to go back."", 'This place has a great vibe inside. It is a restaurant Concord has needed for \xa0a long time. The food is okay, but the beers on tap are amazing. They have \xa0numerous flights you can make. Most of the beer on tap is local, so you get a taste off your area! It is very busy, so expect to wait, if you drink beer it is worth it. Great place to go with a bunch of friends.']"
"['Richard K.', ""Elite '2020""]",['5/15/2020'],['5 star rating'],['Yard House'],"['Yard House was always one of my favorite chain restaurants because they have an amazing beer list and an even better happy hour. \xa0During the era of B.C. (Before COVID-19), the wifey and I would go to watch some games while we snacked on delicious food and knocked back a beer or two or three or four or... yadda yadda. ', 'On top of that, unlike some other national chains that took PPP money from actual small businesses (even the Lakers yo), the Yard House did not. ', 'Now with this Shelter-in-Place, they shut down their operations until last week when they started a take-out option. This includes Happy Hour food M-F 3 -6 PM. You can also take beer to-go. ', 'Although they are not a small business, the workers that work there sure do need our support during these difficult times so that their place of employment stays in business so that once things go back to somewhat normal, they can still have a job. ', ""So let's keep Yard House in business. And if you want to be extra Happy, go during Happy Hour! "", '* You should order and pay ahead of time. They are prompt on the pick-up time as well unlike that buffalo chicken wing place across the street that is never ready. ', '* BTW, I am keeping a list of all the shady restaurants that took PPP money from actual small businesses that needed it. Blacklisting those places.']"
['Rae Lynn Z.'],['8/8/2020'],['5 star rating'],['Yard House'],"[""Finally got to try Yard House at Veranda, I've been to Yard House in other cities, but hadn't made it here yet. We took a chance that we could get in to the outside dining on a Friday afternoon and glad we did. They set up a huge tent outside the restaurant, so even though it's outside dining, you have protection from the hot sun. My niece and I decided to share a few appetizers and washed them down with some cold beer. We shared Carne asada street tacos, truffle parmesan fries and some traditional wings with the Korean sauce (liked them so much we got an order to take home too!). \xa0I love that they not only serve Yard House brew, but they serve local micro brews too. \xa0My niece had the Yard House Honey Blonde and I had a Smooth Rider Stout from Del Cielo Brewery in Martinez, CA "", 'Service was really good, everything was clean and the tables well spaced so we felt very comfortable dining. All the servers and other staff were wearing masks and they really monitored traffic flow to the restaurant. One bonus of Covid 19 is parking was easy, which is Not the case in normal times.']"
['randy t.'],"['9/30/2020', '5/11/2019', '5/5/2019']","['5 star rating', '1 star rating', '5 star rating']",['Yard House'],"['Love happy hour here. We got our favorite server again. \xa0Makesure to ask for Josh. And as an additional plus, \xa0you can sit inside now.', ""We went about 4 days after it opened and \xa0had a great time. \xa0Only hiccup was my wife's burger came out very under cooked, not to much \xa0of a big deal. \xa0The 2 star rating is from today. After waiting 1 1/2 \xa0hours for a table (we we told 35 to 45 minutes at check in) we were seated and and a waiter quick came by and said he would be right back. After about 10 minutes I got up and asked a worker by the fountain machine if we could get some waters, which she quickly did. About 10 minutes after that they took our drink and food order. \xa0Our food took 40 minutes to come out, my plate arrived about 5 minutes after everyone else's at the table. \xa0It looked great, \xa0but when I took a bite it was cold like it had been sitting in the kitchen for a while. \xa0Around 5 more minutes past and I was able to catch a server and have them take it back. About 10 to 13 minutes later my food came back and the beans were so fuking hot it burned. Figured if that was all the was wrong, I would deal with it.. nope... let's just say my stomach is not doing well now. So sad this place was looking to be my new favorite."", 'Awesome... food was great. \xa0The service was awesome. \xa0And I love the beer selections. Would be nice to see a few vegan options.']"
"['Jenny Y.', ""Elite '2020""]",['7/29/2020'],['3 star rating'],['Yard House'],"['Offers outdoor dining. ', 'The food was ok but the presentation looked a bit like airplane food. This was my first time visiting Yardhouse in the concord location. Loved the one in Santana road, sj!! It was a college stomping ground back in the days. Remembered it to be much fancier, but it has been a while so my memories may be failing me. ', 'Anyways, about the food:', 'Ordered 1 appetizer and 3 entree to share between 3 girls.', 'Best and must try: ', ""beef shortrib ravioli. YUM!! It's delicious. Try it!!! "", 'Ok: ', ""Calamari: crispy delicious little morsels of fried squid. Came with 2 sauce for dipping. Didn't care for the white sauce but loved me the marinara one. "", 'Steak and shrimp. We all craved for steak, so this was the obvious choice. Shared it and gobbled it down. ', 'A bit disappointed:', 'Lobster pasta, (not the lobster garlic noodle). Was really excited about this dish, but tasted like something you would get pre-made from Costco. Not a bad thing, but just expected more. ', 'Overall, had a good time.']"
['Kendra S.'],['7/29/2020'],['5 star rating'],['Yard House'],"[""I am quite surprised by the recent not so good reviews... our experience was fantastic! Not only our server, but our team members were happy to interact with us and the food was just as great. We got the poke nachos and sweet potato fries for appetizers; we love poke bowls so we couldn't pass the chance to try these and we were not disappointed. The sweet potato fries were cooked perfectly, but of a crisp on the outside but soft on the inside and served with syrup! (If you haven't had it, you need to!) "", 'For main dishes, I got the spicy jambalaya and my hubby got the ribs ravioli and again so delicious! Thank you to the staff for a great experience']"
['Misa T.'],['10/3/2020'],['5 star rating'],"[""Spicy Joi's Banh Mi x Lao Street Food""]","['Came by on our way back to South Bay. Got take out, ordered ahead on their website for pick up. Weird little spot in the alley. ', 'Got the chicken skewers with a side of the sausage. Papaya salad. The dessert drink, and the coconut cup dessert. (They only serve dessert on weekends)', 'Everything was yummy even after a half our car ride.']"
"['Anna M.', ""Elite '2020""]",['6/11/2020'],['5 star rating'],"[""Spicy Joi's Banh Mi x Lao Street Food""]","[""I was so delighted to see this place was new and was so excited to try it out! They are available for curbside pickup, which is a really great help for those who are trying to socially distance. The process online was fairly easy to order and they call you to make sure they get the order right. When you arrive, you call their number and someone will come out- I have to call a few times (I imagine because it may have been busy inside), which wasn't too bad, so just a heads up. \xa0"", 'Food:', 'I made an order right when they opened and tried to order the lemongrass tofu banh mi and we were informed they could not sell that item early in the morning because they needed to let it marinate first. I was really bummed and sad about this, but was pleasantly surprised because it means they make things fresh! So...just in case this is what you want, I suggest you try ordering later in the day. We ordered way too much (see below) and there were no regrets because everything was so tasty!!!', 'Lemongrass chicken banh mi: The bread was soft and the chicken was well marinated. The veggies in here were pickled and enough to my satisfaction. I would definitely order this again.', 'Lao sausage combo: It was very filling and tasty to say the least. I loved the purple sticky rice it comes with because it just sticks the whole dish together (sticks it together, get it?? HA). The spicy sauce it comes with is soooo good and I really suggest eating it with a banh mi also if you end up ordering this in your meal too.', 'thai iced tea: ooooh this was really sweet! If you got that sweet tooth, this is for you! Otherwise, you can still get it and probably make it into two drinks- easy fix!', 'iced coffee: very well made and you can taste the coffee in this drink. This was also a little sweet, but easily fixed with more ice :)', 'special weekend dessert trio: This was tasty and delicious. The three different desserts have different textures. The white one with coconut shavings was chewy and really good. The pandan (green one) was less chewy and had more of a stiff jello texture. The other one with corn was also really good and the corn actually gives it a nice sweet touch to it! Give it a try!!!', ""Needless to say, I'll be back for my lemongrass tofu banh mi!""]"
['Judy N.'],['7/28/2020'],['5 star rating'],"[""Spicy Joi's Banh Mi x Lao Street Food""]","['As a Vietnamese person whose parents owned a well-known Vietnamese sandwich shop in the Bay Area while I was growing up, let me say: \xa0EAT HERE!!', 'I was so excited when I heard about this new place. \xa0Their menu is fairly limited, which is exactly what I believe the best restaurants should have to ensure constant turnover and fresh food, so we ordered pretty much everything.', 'Vietnamese noodle salad with lemongrass bbq chicken skewers - basically ""bun"" but the noodles are wetter than traditional bun, and that actually made it better. The amount of veggies was very generous (hence the ""salad""), which also enhanced the flavors. I was worried that the chicken would be bland and/or dry but it was neither. \xa0The seasoning was light but it had a great light lemongrass and char flavor. \xa0If you can\'t decide on what to get, start with this! \xa0$10', ""Banh mi with lemongrass bbq pork - I was expecting to like the pork more than the chicken, but it actually turned out to be the opposite. \xa0It's possible that that was just because the chicken was so perfectly paired with the lighter noodle salad. \xa0The banh mi was legit Vietnamese and the bbq pork was good though just a bit tougher than the chicken, which is to be expected. \xa0I would order the sandwich again but the noodles would still be my first choice. \xa0$7"", ""Laos sausage combo with sticky purple rice & roasted pepper - the sausages were good, but I've had so many variations of Asian sausages that this wasn't one of my favorites. \xa0The sticky rice added a great texture that I loved. \xa0And the roasted pepper - OMG! \xa0sooooo flavorful! \xa0Too bad it was so spicy. \xa0Still, if you can handle spice, this is a must try. \xa0Even if you can only handle a little bit of spice, this is worth mildly burning your mouth for. \xa0If only they mixed it in \xa0with egg plant or something so it's not as spicy, I could handle so much more of it. \xa03 sausages, rice & roasted pepper $12"", 'Papaya salad - again, I\'ve had many many different versions of papaya salad and the one my parents served in their restaurant is still my favorite. \xa0But that was a Vietnamese version and the one at Joi is more Laos so they\'re very different. \xa0The Joi one is very heavy on the sauce, a little bit sickening so for me. \xa0The sauce smells to be made of shrimp paste. I love shrimp paste but for those who aren\'t familiar, it can be a bit stinky and strong. \xa0Even though it\'s called a ""salad,"" it\'s not what I would consider a light dish because the sauce is so heavy. \xa0We asked for mild but it came out pretty spicy. \xa0 $10', 'Cured pork ""nem"" - if you\'re not familiar with this, it might be on the adventurous side. \xa0It has a briny, mild vinegary flavor. \xa0I love nem, but yet again, everybody makes it differently and this wasn\'t my favorite. \xa0$7', ""Pork rinds - what you'd expect. \xa0There was bits that were really hard (also what you'd expect). \xa0Having just got my wisdom teeth pulled, I couldn't finish the bag for fear of doing damage. \xa0But still a good snack. \xa0$6"", ""Pandan coconut milk dessert drink - brings back childhood memories! \xa0Love this! \xa0I was never a fan of the texture of the pandan in this drink (very soft, which I actually dislike immensely), but it's so delicious, I devoured the whole thing embarrassingly quickly. Warning: \xa0addictive!! \xa0$5"", ""Layered coconut cake slices - the lady owner gave us one of these desserts for free, which was so sweet of her. \xa0It was really good and we'll be buying some next time. \xa0Only offered on weekends. \xa0$5"", ""Overall, a great experience. \xa0If I had to narrow it down to one lunch, I'd re-order the vietnamese noodle salad with chicken and the pandan dessert drink. \xa0"", ""Did I mention, EAT HERE?? \xa0It's located inside of Rockin' Crawfish in the Ranch 99 complex. \xa0You can order online on their website for pickup.""]"
['Cassandra K.'],['10/11/2020'],['5 star rating'],"[""Spicy Joi's Banh Mi x Lao Street Food""]","[""It's a beautiful day for Laotian food!"", ""Boyfriend and I stopped by Spicy Joi's, I've been meaning to try them for a long time, so we of course got distracted by everything on the menu and ordered a sample of a little bit of everything."", ""Oh my word. If you love spicy food, get the papaya salad! I asked for spicy, I should have gotten medium. I do love spice, but I am still a white girl and spice and I have a relationship of love and hate. (Lol, when your boyfriend is Indian, you get used to some spicy.) I love spicy, I love it when it over powers my mouth, I love the spicy after burn... I just can't eat a whole lot of it. I definitely recommend you try it, they do a no spicy, medium, spicy and crazy people spicy. It's fish saucey, fragrant, crunchy and delicious. "", 'Boyfriend got the spicy sausage platter. Those sausages are amazing! Lemon grassy, fatty, spiced deliciousness. It comes with purple sticky rice and these fire roasted green peppers that are to die for. He could not stop talking about how amazing everything was. ', ""Since they have some pre-packed goods and my preggo belly makes a lot of decisions for me, I instantly grabbed the rice noodle rolls. They came with mint, cilantro, lettuce and carrots on the side, rice noodle rolls had fried onion (maybe it was fried garlic?) on top, rolled with some delicious stuff... A mushroom type fungi and other veggies... it was so incredible. The dipping sauce which is probably nuoc cham, is the best I have ever had! It's vinegary, sweet and flavorful. We instantly dug into those and I was not disappointed. "", ""Finally we got the mini dessert trio, which is $6. I knew I wanted to try their desserts because they have pandan flavored desserts, and it's such a treat! Imagine like the flavor of marshmallow and coconut together. They were delicious, covered in coconut flakes and sesame seeds. Like a jello jiggler in exotic flavors. We had pandan, cassava and these little coconut pudding ones. "", 'Oh! Duh, we also got a Thai iced tea and I got the Butterfly Pea Flower Lime Tea. Amazing. I want another tea right now. ', 'Anyway, delicious food, locally made in house, amazing flavors... They have so much more like Banh Mi and a noodle salad that sounds amazing... Really support them if you can! Amazing.', ""Thank you Spicy Joi's for a wonderful lunch, service and experience. I cannot wait to come back for more!""]"
"['Jessica J.', ""Elite '2020""]",['10/4/2020'],['4 star rating'],"[""Spicy Joi's Banh Mi x Lao Street Food""]","[""I finally made my way over for a visit, and the flavors didn't disappoint. "", ""Directions to the storefront sound tricky, but rest assured, they're not! Walk under the large Rockin' Crawfish sign down the alley and you'll find Spicy Joi on your left. "", ""We arrived around 6:30pm on Saturday and were greeted as we perused the menu. Joi's wife Noelle was so friendly, introducing herself and making conversation as we ordered. Our food was ready in ~20 min. "", 'Do not sleep on the nam khao!! Slightly sour, full of different textures, and the fresh herbs are a great complement. ', ""I also got one spicy sausage to try. It's packed with flavor and actually has heat to it! I was pleasantly surprised. It wasn't greasy or too heavy either. "", ""Note: The portion size for the lemongrass pork combo was too small for my partner, so he ended up eating half of my nam khao. :( Order something extra if you're hungry!"", ""Overall, a lovely experience. I'd definitely recommend giving it a try!""]"
